SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,MnO,P2O5,SO3,T,log n
0.8115,0.0967,0.011,0.0194,0,0.201,0.0332,0.0075,0.0007,0,0,1873,2.76
0.8115,0.0967,0.011,0.0194,0,0.201,0.0332,0.0075,0.0007,0,0,1833,2.92
0.8115,0.0967,0.011,0.0194,0,0.201,0.0332,0.0075,0.0007,0,0,1793,3.1
0.8115,0.0967,0.011,0.0194,0,0.201,0.0332,0.0075,0.0007,0,0,1753,3.37
0.8115,0.0967,0.011,0.0194,0,0.201,0.0332,0.0075,0.0007,0,0,1713,3.59
0.8115,0.0967,0.011,0.0194,0,0.201,0.0332,0.0075,0.0007,0,0,1673,3.85
0.7942,0.1055,0.0213,0.0112,0.026,0.0209,0.0207,0.0001,0.0001,0,0,1873,2.4
0.7942,0.1055,0.0213,0.0112,0.026,0.0209,0.0207,0.0001,0.0001,0,0,1823,2.65
0.7942,0.1055,0.0213,0.0112,0.026,0.0209,0.0207,0.0001,0.0001,0,0,1773,2.92
0.7942,0.1055,0.0213,0.0112,0.026,0.0209,0.0207,0.0001,0.0001,0,0,1723,3.22
0.7942,0.1055,0.0213,0.0112,0.026,0.0209,0.0207,0.0001,0.0001,0,0,1623,3.87
0.7942,0.1055,0.0213,0.0112,0.026,0.0209,0.0207,0.0001,0.0001,0,0,1573,4.19
0.7942,0.1055,0.0213,0.0112,0.026,0.0209,0.0207,0.0001,0.0001,0,0,1673,3.52
0.7873,0.1136,0.0128,0.0204,0,0.0225,0.0349,0.0078,0.0006,0,0,1873,2.59
0.7873,0.1136,0.0128,0.0204,0,0.0225,0.0349,0.0078,0.0006,0,0,1833,2.73
0.7873,0.1136,0.0128,0.0204,0,0.0225,0.0349,0.0078,0.0006,0,0,1793,2.95
0.7873,0.1136,0.0128,0.0204,0,0.0225,0.0349,0.0078,0.0006,0,0,1753,3.18
0.7873,0.1136,0.0128,0.0204,0,0.0225,0.0349,0.0078,0.0006,0,0,1713,3.44
0.7873,0.1136,0.0128,0.0204,0,0.0225,0.0349,0.0078,0.0006,0,0,1673,3.71
0.7873,0.1136,0.0128,0.0204,0,0.0225,0.0349,0.0078,0.0006,0,0,1633,4.1
0.7844,0.109,0.0134,0.0309,0.0131,0.033,0.0136,0.002,0.0006,0,0,1873,2.48
0.7844,0.109,0.0134,0.0309,0.0131,0.033,0.0136,0.002,0.0006,0,0,1823,2.73
0.7844,0.109,0.0134,0.0309,0.0131,0.033,0.0136,0.002,0.0006,0,0,1773,3
0.7844,0.109,0.0134,0.0309,0.0131,0.033,0.0136,0.002,0.0006,0,0,1723,3.28
0.7844,0.109,0.0134,0.0309,0.0131,0.033,0.0136,0.002,0.0006,0,0,1673,3.61
0.7844,0.109,0.0134,0.0309,0.0131,0.033,0.0136,0.002,0.0006,0,0,1623,3.92
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1873,2.34
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1853,2.42
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1833,2.55
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1813,2.64
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1793,2.75
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1773,2.85
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1753,3
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1733,3.11
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1713,3.26
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1693,3.42
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1673,3.55
0.7769,0.1285,0.0123,0.02,0,0.0205,0.0336,0.0077,0.0006,0,0,1653,3.68
0.7635,0.1427,0.0123,0.0199,0.0002,0.0202,0.0331,0.0075,0.0006,0,0,1873,2.22
0.7635,0.1427,0.0123,0.0199,0.0002,0.0202,0.0331,0.0075,0.0006,0,0,1853,2.31
0.7635,0.1427,0.0123,0.0199,0.0002,0.0202,0.0331,0.0075,0.0006,0,0,1833,2.42
0.7635,0.1427,0.0123,0.0199,0.0002,0.0202,0.0331,0.0075,0.0006,0,0,1813,2.57
0.7635,0.1427,0.0123,0.0199,0.0002,0.0202,0.0331,0.0075,0.0006,0,0,1793,3
0.7635,0.1427,0.0123,0.0199,0.0002,0.0202,0.0331,0.0075,0.0006,0,0,1753,3.19
0.755,0.1434,0.0132,0.0319,0.0122,0.0311,0.013,0.0001,0.0001,0,0,1873,2.09
0.755,0.1434,0.0132,0.0319,0.0122,0.0311,0.013,0.0001,0.0001,0,0,1823,2.33
0.755,0.1434,0.0132,0.0319,0.0122,0.0311,0.013,0.0001,0.0001,0,0,1773,2.6
0.755,0.1434,0.0132,0.0319,0.0122,0.0311,0.013,0.0001,0.0001,0,0,1723,2.88
0.755,0.1343,0.0204,0.0441,0.0121,0.015,0.0157,0.0033,0.0001,0,0,1873,1.86
